LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Cosenza;1/11/2020;"19";"17";"22";"15";"77";"20";"13";"21";"0";"1023";"0";"0";""
Cosenza;2/11/2020;"17";"13";"22";"13";"78";"21";"10";"22";"0";"1024";"0";"0";""
Cosenza;3/11/2020;"17";"12";"22";"13";"77";"21";"11";"24";"0";"1023";"0";"0";""
Cosenza;4/11/2020;"16";"11";"22";"13";"81";"19";"9";"15";"0";"1022";"0";"0";""
Cosenza;5/11/2020;"16";"11";"21";"14";"87";"20";"8";"17";"0";"1025";"0";"0";""
Cosenza;6/11/2020;"17";"13";"21";"14";"85";"18";"9";"15";"0";"1025";"0";"0";""
Cosenza;7/11/2020;"15";"9";"21";"11";"79";"17";"11";"18";"0";"1027";"0";"0";""
Cosenza;8/11/2020;"14";"9";"21";"12";"86";"18";"12";"26";"0";"1025";"0";"0";""
Cosenza;9/11/2020;"14";"9";"20";"12";"86";"19";"10";"21";"0";"1023";"0";"0";""
Cosenza;10/11/2020;"14";"9";"20";"12";"89";"18";"9";"17";"0";"1023";"0";"0";""
Cosenza;11/11/2020;"14";"9";"20";"12";"86";"18";"9";"15";"0";"1024";"0";"0";""
Cosenza;12/11/2020;"14";"9";"20";"12";"87";"20";"10";"18";"0";"1025";"0";"0";""
Cosenza;13/11/2020;"14";"10";"20";"12";"89";"18";"9";"13";"0";"1025";"0";"0";""
Cosenza;14/11/2020;"15";"10";"22";"12";"85";"20";"9";"13";"0";"1025";"0";"0";""
Cosenza;15/11/2020;"15";"10";"22";"11";"82";"20";"7";"11";"0";"1023";"0";"0";""
Cosenza;16/11/2020;"15";"8";"22";"12";"85";"18";"8";"13";"0";"1020";"0";"0";"pioggia "
Cosenza;17/11/2020;"16";"13";"21";"14";"88";"20";"8";"15";"0";"1017";"0";"0";"pioggia "
Cosenza;18/11/2020;"18";"15";"21";"13";"77";"18";"12";"22";"0";"1023";"0";"0";"pioggia "
Cosenza;19/11/2020;"14";"9";"20";"11";"82";"18";"12";"22";"0";"1022";"0";"0";""
Cosenza;20/11/2020;"14";"10";"19";"13";"90";"19";"8";"17";"0";"1013";"0";"0";"pioggia "
Cosenza;21/11/2020;"15";"13";"17";"10";"77";"18";"14";"42";"0";"1014";"0";"0";"pioggia "
Cosenza;22/11/2020;"16";"12";"19";"10";"68";"22";"23";"35";"0";"1021";"0";"0";"pioggia "
Cosenza;23/11/2020;"16";"14";"18";"12";"75";"22";"16";"26";"0";"1023";"0";"0";"pioggia "
Cosenza;24/11/2020;"15";"12";"20";"11";"75";"19";"14";"21";"0";"1021";"0";"0";""
Cosenza;25/11/2020;"15";"10";"19";"10";"75";"18";"10";"17";"0";"1022";"0";"0";""
Cosenza;26/11/2020;"14";"8";"19";"9";"73";"18";"17";"24";"0";"1022";"0";"0";""
Cosenza;27/11/2020;"13";"8";"18";"8";"72";"20";"20";"26";"0";"1021";"0";"0";""
Cosenza;28/11/2020;"16";"12";"18";"12";"77";"21";"21";"30";"0";"1016";"0";"0";"pioggia "
Cosenza;29/11/2020;"14";"9";"18";"11";"85";"23";"16";"28";"0";"1009";"0";"0";"pioggia "
Cosenza;30/11/2020;"14";"8";"19";"10";"79";"21";"9";"15";"0";"1016";"0";"0";"pioggia "
